class,supplement,buy_link
Apple___Apple_scab,Captan Fungicide,https://www.amazon.in/s?k=captan+fungicide
Apple___Black_rot,Copper Fungicide,https://www.amazon.in/s?k=copper+fungicide
Apple___Cedar_apple_rust,Rust Protection Spray,https://www.amazon.in/s?k=rust+protection+spray+plants
Apple___healthy,Multi-Nutrient Fertilizer,https://www.amazon.in/s?k=multi+nutrient+fertilizer
Blueberry___healthy,Acidic Fertilizer,https://www.amazon.in/s?k=acidic+fertilizer+blueberry
Cherry_(including_sour)___Powdery_mildew,Sulfur Fungicide,https://www.amazon.in/s?k=sulfur+fungicide
Cherry_(including_sour)___healthy,Fruit Tree Spray,https://www.amazon.in/s?k=fruit+tree+spray
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Mancozeb Fungicide,https://www.amazon.in/s?k=mancozeb+fungicide
Corn_(maize)___Common_rust_,Propiconazole Spray,https://www.amazon.in/s?k=propiconazole+fungicide
Corn_(maize)___Northern_Leaf_Blight,Azoxystrobin Fungicide,https://www.amazon.in/s?k=azoxystrobin+fungicide
Corn_(maize)___healthy,NPK Fertilizer,https://www.amazon.in/s?k=npk+fertilizer
Grape___Black_rot,Myclobutanil Fungicide,https://www.amazon.in/s?k=myclobutanil+fungicide
Grape___Esca_(Black_Measles),Bordeaux Mixture,https://www.amazon.in/s?k=bordeaux+mixture
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Copper Hydroxide Spray,https://www.amazon.in/s?k=copper+hydroxide+spray
Grape___healthy,Vine Nutrition Fertilizer,https://www.amazon.in/s?k=vine+fertilizer
Orange___Haunglongbing_(Citrus_greening),Citrus Systemic Spray,https://www.amazon.in/s?k=citrus+spray+systemic
Peach___Bacterial_spot,Copper Bactericide,https://www.amazon.in/s?k=copper+bactericide
Peach___healthy,Peach Tree Fertilizer,https://www.amazon.in/s?k=peach+tree+fertilizer
Pepper,_bell___Bacterial_spot,Copper Bactericide,https://www.amazon.in/s?k=copper+bactericide
Pepper,_bell___healthy,Calcium Fertilizer,https://www.amazon.in/s?k=calcium+fertilizer+pepper
Potato___Early_blight,Chlorothalonil Spray,https://www.amazon.in/s?k=chlorothalonil+spray
Potato___Late_blight,Mancozeb Fungicide,https://www.amazon.in/s?k=mancozeb+fungicide
Potato___healthy,Potato Fertilizer,https://www.amazon.in/s?k=potato+fertilizer
Raspberry___healthy,Berry Fertilizer,https://www.amazon.in/s?k=berry+fertilizer
Soybean___healthy,Soybean Booster,https://www.amazon.in/s?k=soybean+fertilizer
Squash___Powdery_mildew,Potassium Bicarbonate Spray,https://www.amazon.in/s?k=potassium+bicarbonate+spray
Strawberry___Leaf_scorch,Captan Fungicide,https://www.amazon.in/s?k=captan+fungicide
Strawberry___healthy,Strawberry Fertilizer,https://www.amazon.in/s?k=strawberry+fertilizer
Tomato___Bacterial_spot,Copper Bactericide,https://www.amazon.in/s?k=copper+bactericide
Tomato___Early_blight,Chlorothalonil Spray,https://www.amazon.in/s?k=chlorothalonil+spray
Tomato___Late_blight,Mancozeb Fungicide,https://www.amazon.in/s?k=mancozeb+fungicide
Tomato___Leaf_Mold,Fungicide Spray,https://www.amazon.in/s?k=fungicide+spray+tomato
Tomato___Septoria_leaf_spot,Chlorothalonil Spray,https://www.amazon.in/s?k=chlorothalonil+spray
Tomato___Spider_mites Two-spotted_spider_mite,Neem Oil Spray,https://www.amazon.in/s?k=neem+oil+spray
Tomato___Target_Spot,Azoxystrobin Fungicide,https://www.amazon.in/s?k=azoxystrobin+fungicide
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Whitefly Control Spray,https://www.amazon.in/s?k=whitefly+control+spray
Tomato___Tomato_mosaic_virus,Insecticidal Soap,https://www.amazon.in/s?k=insecticidal+soap
Tomato___healthy,Tomato Fertilizer,https://www.amazon.in/s?k=tomato+fertilizer
